actor1,actor2,shows,num
3748,3308,"The Irishman, GoodFellas, Taxi Driver, The Irishman: In Conversation",4
1549,11472,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",10
1549,11473,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",12
1549,11474,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
1549,11475,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
1549,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
1549,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11472,11473,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail",10
11472,11474,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",11
11472,11475,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",11
11472,11476,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",11
11472,11478,"Monty Python and the Holy Grail, Monty Python Live at the Hollywood Bowl, Life of Brian, Monty Python: Almost the Truth (The Lawyer's Cut)",4
11473,11474,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
11473,11475,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
11473,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
11473,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11474,11475,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",14
11474,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",14
11474,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11475,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",14
11475,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11476,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
28172,97338,"Mobile Suit Gundam: Char's Counterattack, Mobile Suit Gundam II: Soldiers of Sorrow, Mobile Suit Gundam III: Encounters in Space",3
62784,38637,"Mujrim, Phir Bhi Dil Hai Hindustani, Phir Hera Pheri",3
62784,54349,"Aakhri Adaalat, Mujrim, Duplicate, Jaal",4
22308,28164,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
22308,58214,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,58215,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,60138,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,177866,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,36373,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
22308,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
22308,58718,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,58214,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,58215,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,60138,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
