id,name,role
48004,Kareena Kapoor Khan,ACTOR
38636,Boman Irani,ACTOR
38632,Shah Rukh Khan,ACTOR
138,Takahiro Sakurai,ACTOR
6958,Amitabh Bachchan,ACTOR
69034,Paresh Rawal,ACTOR
12022,Priyanka Chopra Jonas,ACTOR
211560,Raúl Campos,DIRECTOR
30778,Junichi Suwabe,ACTOR
590250,Jan Suter,DIRECTOR
1345,Anupam Kher,ACTOR
26948,Nawazuddin Siddiqui,ACTOR
11283,Yuki Kaji,ACTOR
14176,Om Puri,ACTOR
6821,Fred Tatasciore,ACTOR
64201,Ajay Devgn,ACTOR
15921,Fred Armisen,ACTOR
61013,Aamir Khan,DIRECTOR
45436,Nassar,ACTOR
75908,Kenjiro Tsuda,ACTOR
64205,Murali Sharma,ACTOR
14143,Kari Wahlgren,ACTOR
3911,Snoop Dogg,ACTOR
38637,Johnny Lever,ACTOR
45227,Rani Mukerji,ACTOR
14142,Grey DeLisle,ACTOR
11474,Eric Idle,DIRECTOR
30771,Maaya Sakamoto,ACTOR
34837,Ashleigh Ball,ACTOR
11476,Michael Palin,ACTOR
5271,Vincent Tong,ACTOR
66826,John Abraham,ACTOR
1549,John Cleese,ACTOR
395,Jun Fukuyama,ACTOR
11691,Maya Rudolph,ACTOR
63666,Sanjay Dutt,ACTOR
84497,Takehito Koyasu,ACTOR
65499,Rajkummar Rao,ACTOR
48003,Akshay Kumar,ACTOR
31988,Robb Wells,DIRECTOR
63660,Abhishek Bachchan,ACTOR
65831,John Paul Tremblay,DIRECTOR
5146,David Spade,ACTOR
8531,Kevin Hart,ACTOR
62784,Sharat Saxena,ACTOR
11475,Terry Jones,DIRECTOR
7997,Kevin Michael Richardson,ACTOR
1339,Shahid Kapoor,ACTOR
43107,Donald Trump,ACTOR
10894,Rikiya Koyama,ACTOR
65830,Mike Smith,ACTOR
8707,Chris Parnell,ACTOR
62774,Rishi Kapoor,ACTOR
85702,Mamoru Miyano,ACTOR
5410,Anil Kapoor,ACTOR
45230,Karan Johar,DIRECTOR
84410,Brijendra Kala,ACTOR
11473,Terry Gilliam,DIRECTOR
34838,Andrea Libman,ACTOR
20372,Tara Strong,ACTOR
88323,Hochu Otsuka,ACTOR
34966,Brian Drummond,ACTOR
59976,Barack Obama,ACTOR
61017,Katrina Kaif,ACTOR
63667,Mithun Chakraborty,ACTOR
1852,Samuel L. Jackson,ACTOR
141692,Cathy Garcia-Molina,DIRECTOR
53150,Deepika Padukone,ACTOR
22310,Natsuki Hanae,ACTOR
53151,Saif Ali Khan,ACTOR
4047,Irrfan Khan,ACTOR
348,Akio Otsuka,ACTOR
15595,Jane Fonda,ACTOR
130,Saori Hayami,ACTOR
9737,Mike Epps,ACTOR
61021,Farhan Akhtar,DIRECTOR
61025,Ranbir Kapoor,ACTOR
271347,Fortune Feimster,ACTOR
132,Daisuke Ono,ACTOR
2317,Adam Sandler,ACTOR
94526,Yoshimasa Hosoya,ACTOR
22311,Koichi Yamadera,ACTOR
2327,Jackie Sandler,ACTOR
35983,Fumiko Orikasa,ACTOR
58215,Kappei Yamaguchi,ACTOR
8472,Rob Schneider,ACTOR
273,Minako Kotobuki,ACTOR
24532,Ian James Corlett,ACTOR
30768,Toshiyuki Morikawa,ACTOR
9233,Chris Rock,DIRECTOR
63656,Arjun Rampal,ACTOR
